"Id","Label","name","description","followers_count","statuses_count","friends_count","created_at","location"
"102803242","USCCareerCenter","USC Career Center","Providing exceptional career services to all members of the #USC Trojan Family.",8998,8238,1240,"Thu Jan 07 22:00:57 +0000 2010","Los Angeles, CA"
"1032744313044664320","Dr_Wanda_Austin","Wanda Austin","Archive of tweets from Dr. Wanda M. Austin, sent during her time as Interim President of @USC. This account is no longer active.",1161,225,92,"Thu Aug 23 21:40:06 +0000 2018","Los Angeles, CA"
"1059724356","JoeySaraceno","Joey Saraceno","@USC PhD Candidate l @UCLA Alum '16 | he/him 🏳️‍🌈",220,589,233,"Fri Jan 04 06:40:15 +0000 2013","Los Angeles, CA"
"1091603888623370240","EdwardG74882741","Edward Gonzalez","USC POIR PhD Candidate. Student of political philosophy, comparative politics, and international relations. Future professor of international relations.",120,757,171,"Sat Feb 02 07:47:02 +0000 2019","California, USA"
"1110663509862289409","PresidentFolt","Carol Folt","President of the University of Southern California",9732,1155,121,"Tue Mar 26 22:03:10 +0000 2019","Los Angeles, CA"
"112448318","BJPolS","British Jnl Poli Sci","British Journal of Political Science from Cambridge University Press.",17267,6633,1357,"Mon Feb 08 14:52:14 +0000 2010","Cambridge"
"1137637033","AJPS_Editor","AJPS","American Journal of Political Science - AJPS Co-Editors Kathy Dolan and Jennifer Lawless",15915,749,41,"Thu Jan 31 18:42:30 +0000 2013",""
"114865774","USCGouldLaw","USC Gould Law","A top-20 law school, USC Gould offers students a world-class education and unparalleled opportunities.",8229,10172,2818,"Tue Feb 16 21:24:55 +0000 2010","Los Angeles, CA"
"1154264445117325312","RaqCenteno","Raquel Centeno","political scientist in training @uscpoir | parties + partisan polarization + identity | @callutheran ‘18 | motherly figure to 1 cat | she/her | 🏳️‍🌈",173,309,265,"Thu Jul 25 05:37:43 +0000 2019","Los Angeles, California"
"116630713","monkeycageblog","The Monkey Cage (TMC)","Political science for the public. Making sense of the circus that is politics. Newsletter: https://t.co/CKWgbRz4I1. The Contributors' Guidelines: https://t.co/3589WChohP.",55076,24998,764,"Tue Feb 23 03:53:00 +0000 2010",""
"1170012108","CESRUSC","CESR","We conduct basic and applied research in economics and social sciences.  We also built the Understanding America Study, an 9000+ national online panel",710,556,500,"Mon Feb 11 21:01:26 +0000 2013","Los Angeles, CA-Washington, DC"
"1179203722540273664","shallow__state","Dave Ebner, Ph.D.","Your friendly neighborhood Temporary Assistant Professor @UDPOSCIR. Ph.D. @uscpoir ✌🏼. I study race, foreign relations, institutions, and public opinion.",748,10073,1580,"Wed Oct 02 01:17:37 +0000 2019","Los Angeles, CA"
"1180479770","jaj7d","Jeff Jenkins","Provost Professor of Public Policy, Political Science, and Law. @USC Director, @BedrosianCenter, @JPIPE_journal & @JHPE_journal founding editor, #FirstGen",1934,2235,802,"Thu Feb 14 22:26:28 +0000 2013","Los Angeles, CA"
"119679411","EPSRjournal","Euro Pol Sci Review","European Political Science Review, the new journal from ECPR and Cambridge University Press",14459,4114,524,"Thu Mar 04 09:44:16 +0000 2010",""
"119682506","InternatlTheory","International Theory","International Theory - A journal of International Politics, Law and Philosophy",13458,4508,668,"Thu Mar 04 10:00:18 +0000 2010",""
"1197448035380318208","uscgpi","USC Global Policy Institute","The @USC Global Policy Institute is a student-run think tank on international affairs. Follow us for editorial content and programming announcements.",141,223,120,"Thu Nov 21 09:34:15 +0000 2019",""
"12044602","Schwarzenegger","Arnold","Former Mr. Olympia, Conan, Terminator, and Governor of California. I killed the Predator. I told you I'd be back. Sign up for my newsletter:",4938126,7461,430,"Wed Jan 09 21:12:40 +0000 2008","Los Angeles, California"
"1222983870","GovInnovations","Innovations in Government at Harvard","The Innovations in Government program at @Harvard @Kennedy_School's @HarvardAsh. Recognizing and promoting excellence in the public sector.",3631,2753,1301,"Tue Feb 26 21:28:24 +0000 2013","Harvard Kennedy School"
"122517396","USCDornsife","USC Dornsife","Official Twitter account of USC Dornsife College of Letters, Arts and Sciences, the academic core of the University of Southern California in the heart of L.A.",10315,15424,2123,"Sat Mar 13 00:25:15 +0000 2010","Los Angeles, CA"
"1228034894195916800","DornsifePhDAcad","Dornsife Ph.D. Academy","Our mission is to prepare Dornsife Ph.D. students to excel at graduate education, stand out among their peers, and become leaders in their chosen professions.",99,50,141,"Thu Feb 13 19:16:35 +0000 2020","Los Angeles, CA"
"1265031758","USCSociology","USC Sociology","A department with a proud history, our faculty includes some of the leading sociologists across multiple/diverse fields. RTs not endorsements. Let's tweet!",1083,961,849,"Wed Mar 13 17:42:34 +0000 2013","Hazel Stanley Hall 314"
"1268264195570589696","WayneSandholtz","Wayne Sandholtz","University of Southern California
Politics and International Relations",101,15,10,"Wed Jun 03 19:32:52 +0000 2020","Los Angeles, California"
"127119300","Trojan_Knights","Trojan Knights","Official Hosts & Guardians of Tradition of the University of Southern California. Keepers of the Victory Bell. Since 1921. #Knights100",1834,1038,394,"Sun Mar 28 03:38:14 +0000 2010","USC"
"1304501724","thereanders","Therese Anders","Data scientist | @rstudio 2019 intern | PhD @uscpoir | computational social science | Stan | Shiny | data viz | #rstats",566,177,603,"Tue Mar 26 15:27:55 +0000 2013",""
"1327567483","SPSAnews","SPSA","Improving Research and Education in the Field of Political Science. Retweet does not equal endorsement.",2953,270,2274,"Thu Apr 04 18:37:52 +0000 2013","Atlanta , GA"
"1333850392577261568","kamala_project","TheKamalaHarrisProject","The Kamala Harris Project is a diverse group of scholars dedicated to studying the term of America’s first Black /South Asian woman Vice President.",68,19,6,"Tue Dec 01 19:09:42 +0000 2020",""
"13393052","ACLU","ACLU","The ACLU is a nonprofit, nonpartisan, legal and advocacy 501(c)(4) organization. Visit our site for more about us and our affiliated org, the ACLU Foundation.",2014480,57814,5644,"Tue Feb 12 16:27:34 +0000 2008","50 states, DC, & Puerto Rico"
"1346564900160585728","MorrisLevy8","Morris Levy","Associate Prof, Department of Political Science and Intl. Relations, University of Southern California",46,28,91,"Tue Jan 05 21:11:12 +0000 2021",""
"135469780","europsa","EPSA","European Political Science Association",10873,292,48,"Wed Apr 21 11:44:22 +0000 2010","Europe"
"135959346","USCAlumni","USC Alumni Association","Connecting alumni to USC, lifelong and worldwide with tweets about the university and the #TrojanFamily. #USCAlumni #USC #Trojans",16206,8124,1703,"Thu Apr 22 17:04:55 +0000 2010","Widney Alumni House"
"1362094614","USCHistory","USC History Dept. ✌️","USC Department of History. Fight On! Follow for updates on happenings on campus & across the globe. [RT's are not endorsements.] Like us on Facebook!",869,2292,324,"Thu Apr 18 14:45:41 +0000 2013","3520 Trousdale Pkwy, LA, 90089"
"138962573","USCUclub","USC University Club","@USC premiere members-only club, providing great food & service, promoting intellectual, cultural & social interaction among #USCfaculty & #USCstaff.",1398,3603,770,"Sat May 01 04:10:28 +0000 2010","Los Angeles, CA"
"1444380402","GovArnoldUSC","USC Schwarzenegger Institute","Advancing policy, not politics. Finding solutions, not talking points. Environment. Political Reform. Education.",16234,1975,970,"Mon May 20 18:11:11 +0000 2013","USC"
"14926475","raykwong","Ray 鄺羡華","WSJ caption contest 🏆 Space | Clean Energy | US-China | USC RT/Like ≠ endorsement. Bad tweets written by intern. Jiang Zemin tweets @ link #ENDALZ #NASASocial",47357,64790,10712,"Tue May 27 22:31:09 +0000 2008","Pacific Rim"
"15442036","SenatorBoxer","Sen. Barbara Boxer","U.S. Senator Barbara Boxer of California.",111608,2229,154,"Tue Jul 15 16:02:13 +0000 2008","Washington, D.C."
